"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";"Device Library";"Device Library URN";
"BYP";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"";"Normally open jumper";"";"";"";"";"";"SparkFun-Jumpers";"";
"C1";"0.1uF";"0.1UF-0603-25V-5%";"";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"SparkFun-Capacitors";"";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"SparkFun-Capacitors";"";
"C3";"0.1uF";"0.1UF-0603-25V-5%";"";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"SparkFun-Capacitors";"";
"C4";"100uF";"100UF-POLAR-25V-20%(ELEC)";"";"100µF polarized capacitors";"";"CAP-12547";"";"";"100uF";"SparkFun-Capacitors";"";
"C5";"100uF";"100UF-POLAR-25V-20%(ELEC)";"";"100µF polarized capacitors";"";"CAP-12547";"";"";"100uF";"SparkFun-Capacitors";"";
"C6";"10uF";"10UF-0603-6.3V-20%";"";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"10uF";"SparkFun-Capacitors";"";
"C7";"0.1uF";"0.1UF-0603-25V-5%";"";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"SparkFun-Capacitors";"";
"C8";"1.0uF";"1.0UF-0603-16V-10%-X7R";"";"1µF ceramic capacitors";"";"CAP-13930";"";"";"1.0uF";"SparkFun-Capacitors";"";
"C9";"0.1uF";"0.1UF-0603-25V-5%";"";"0.1µF ceramic capacitors";"";"CAP-08604";"";"";"0.1uF";"SparkFun-Capacitors";"";
"C10";"10nF";"10NF-0603-50V-10%";"";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"";"10nF";"SparkFun-Capacitors";"";
"D1";"PRTR5V0U2F";"PRTR5V0U2F";"";"A small ESD protection device. Most commonly used on USB D+/D- signals to protect large, expensive, or especially sensitive USB enabled devices.";"";"DIO-14084";"";"";"";"SparkFun-IC-Power";"";
"D2";"GREEN";"LED-GREEN0603";"";"Green SMD LED";"";"DIO-00821";"";"";"GREEN";"SparkFun-LED";"";
"D3";"Yellow";"LED-YELLOW0603";"";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";"SparkFun-LED";"";
"E1";"VHF";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"";"SMA Antenna Connector w/ Ground";"";"CONN-08289";"";"";"";"SparkFun-RF";"";
"E2";"GPS";"ANTENNA-SMA-GROUNDEDEDGE_SMA";"";"SMA Antenna Connector w/ Ground";"";"CONN-08289";"";"";"";"SparkFun-RF";"";
"F1";"6V/2A";"PPTC_6V2A";"";"Resettable Fuse PPTC";"";"RES-14313";"";"";"6V/2A";"SparkFun-Fuses";"";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"";"Fiducial Alignment Points";"";"";"";"";"";"SparkFun-Aesthetics";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"";"Fiducial Alignment Points";"";"";"";"";"";"SparkFun-Aesthetics";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"";"Fiducial Alignment Points";"";"";"";"";"";"SparkFun-Aesthetics";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"";"Fiducial Alignment Points";"";"";"";"";"";"SparkFun-Aesthetics";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"";"Schematic Frame - Ledger";"";"";"";"";"";"SparkFun-Aesthetics";"";
